epoch,sameAs_test_hits@1,sameAs_test_hits@10,sameAs_test_MR,sameAs_test_MRR,sameAs_test_precision,sameAs_test_recall,sameAs_test_f1
0,0.1621621698141098,0.8934571743011475,2.2162163257598877,0.4512194898921358,0.25,0.5,0.3333333333333333
1,0.10810811072587967,0.97826087474823,2.2432432174682617,0.4457831376521919,0.8080357142857143,0.7608695652173914,0.7513513513513514
2,0.2432432472705841,0.9111111164093018,1.837837815284729,0.5441176537359875,0.9512195121951219,0.9459459459459459,0.9457875457875458
3,0.29729729890823364,1.0,1.837837815284729,0.5441176537359875,0.9512195121951219,0.9459459459459459,0.9457875457875458
4,0.13513514399528503,1.0,2.027027130126953,0.4933333082411037,0.986842105263158,0.9864864864864865,0.9864840182648402
5,0.21621622145175934,1.0,1.9189189672470093,0.5211267474387713,0.9625,0.9594594594594594,0.9593927199561002
6,0.27027028799057007,1.0,2.054054021835327,0.48684211289948714,1.0,1.0,1.0
7,0.27027028799057007,1.0,1.7837837934494019,0.5606060575683584,1.0,1.0,1.0
8,0.2432432472705841,1.0,2.027027130126953,0.4933333082411037,1.0,1.0,1.0
9,0.2432432472705841,1.0,2.2432432174682617,0.4457831376521919,0.986842105263158,0.9864864864864865,0.9864840182648402
10,0.3243243396282196,0.9729729890823364,2.054054021835327,0.48684211289948714,0.9743589743589743,0.972972972972973,0.972953216374269
11,0.21621622145175934,1.0,2.1081080436706543,0.47435898885846106,0.9743589743589743,0.972972972972973,0.972953216374269
12,0.18918919563293457,1.0,1.9729729890823364,0.5068493109300585,1.0,1.0,1.0
13,0.21621622145175934,1.0,2.270270347595215,0.44047617547366136,0.9625,0.9594594594594594,0.9593927199561002
14,0.2432432472705841,1.0,2.1891891956329346,0.45679012211225617,0.986842105263158,0.9864864864864865,0.9864840182648402
15,0.29729729890823364,1.0,1.9729729890823364,0.5068493109300585,0.9625,0.9594594594594594,0.9593927199561002
16,0.2432432472705841,1.0,1.9189189672470093,0.5211267474387713,0.9625,0.9594594594594594,0.9593927199561002
17,0.3243243396282196,0.9729729890823364,1.9729729890823364,0.5068493109300585,0.9625,0.9594594594594594,0.9593927199561002
18,0.3243243396282196,1.0,1.6486486196517944,0.6065573877174668,0.9743589743589743,0.972972972972973,0.972953216374269
19,0.3513513505458832,1.0,1.7837837934494019,0.5606060575683584,0.9743589743589743,0.972972972972973,0.972953216374269
20,0.2432432472705841,1.0,1.8648648262023926,0.5362318951751577,1.0,1.0,1.0
21,0.27027028799057007,1.0,1.7027027606964111,0.5873015672982151,0.9512195121951219,0.9459459459459459,0.9457875457875458
22,0.37837839126586914,1.0,1.4864864349365234,0.672727296056827,0.986842105263158,0.9864864864864865,0.9864840182648402
23,0.21621622145175934,1.0,2.1081080436706543,0.47435898885846106,0.986842105263158,0.9864864864864865,0.9864840182648402
24,0.3243243396282196,1.0,1.9189189672470093,0.5211267474387713,1.0,1.0,1.0
25,0.27027028799057007,1.0,1.6486486196517944,0.6065573877174668,1.0,1.0,1.0
26,0.27027028799057007,1.0,1.7567567825317383,0.5692307608790653,1.0,1.0,1.0
27,0.2432432472705841,1.0,1.8108108043670654,0.5522388079352835,0.9404761904761905,0.9324324324324325,0.9321225463217758
28,0.1621621698141098,1.0,2.027027130126953,0.4933333082411037,0.986842105263158,0.9864864864864865,0.9864840182648402
29,0.27027028799057007,1.0,1.6216216087341309,0.6166666715674931,1.0,1.0,1.0
30,0.27027028799057007,1.0,1.7297297716140747,0.5781249860010579,1.0,1.0,1.0
31,0.2432432472705841,1.0,1.8918918371200562,0.5285714438740092,1.0,1.0,1.0
32,0.4324324429035187,1.0,1.324324369430542,0.7551020150977051,1.0,1.0,1.0
33,0.27027028799057007,1.0,1.4594594240188599,0.6851852018237936,1.0,1.0,1.0
34,0.27027028799057007,1.0,1.837837815284729,0.5441176537359875,0.986842105263158,0.9864864864864865,0.9864840182648402
35,0.37837839126586914,1.0,1.4324324131011963,0.6981132169684808,0.986842105263158,0.9864864864864865,0.9864840182648402
36,0.2432432472705841,1.0,1.837837815284729,0.5441176537359875,0.986842105263158,0.9864864864864865,0.9864840182648402
37,0.3243243396282196,1.0,1.4054054021835327,0.7115384631696537,0.986842105263158,0.9864864864864865,0.9864840182648402
38,0.4324324429035187,1.0,1.2972972393035889,0.7708333677922702,0.986842105263158,0.9864864864864865,0.9864840182648402
39,0.29729729890823364,1.0,1.2702702283859253,0.7872340685104889,1.0,1.0,1.0
40,0.4054054021835327,1.0,1.2432432174682617,0.8043478427627365,1.0,1.0,1.0
41,0.4324324429035187,1.0,1.2432432174682617,0.8043478427627365,1.0,1.0,1.0
42,0.5135135054588318,1.0,0.6756756901741028,1.479999968242646,1.0,1.0,1.0
43,0.5405405759811401,1.0,0.837837815284729,1.193548419224981,1.0,1.0,1.0
44,0.4864864945411682,1.0,0.9729729890823364,1.02777776076102,1.0,1.0,1.0
45,0.4054054021835327,1.0,1.162162184715271,0.8604650995807435,1.0,1.0,1.0
46,0.5945945978164673,1.0,0.5405405163764954,1.8500000827014482,1.0,1.0,1.0
47,0.6486486792564392,1.0,0.5405405163764954,1.8500000827014482,0.986842105263158,0.9864864864864865,0.9864840182648402
48,0.6216216087341309,1.0,0.4864864945411682,2.05555552152204,0.986842105263158,0.9864864864864865,0.9864840182648402
49,0.6756756901741028,1.0,0.5405405163764954,1.8500000827014482,1.0,1.0,1.0
50,0.7837837934494019,1.0,0.29729729890823364,3.36363634541015,1.0,1.0,1.0
51,0.6756756901741028,1.0,0.37837839126586914,2.642857052841968,0.986842105263158,0.9864864864864865,0.9864840182648402
52,0.6756756901741028,1.0,0.37837839126586914,2.642857052841968,1.0,1.0,1.0
53,0.6216216087341309,1.0,0.5135135054588318,1.9473684515979486,1.0,1.0,1.0
54,0.6216216087341309,1.0,0.5945945978164673,1.681818172705075,1.0,1.0,1.0
55,0.7567567825317383,1.0,0.4054054021835327,2.4666666862699724,1.0,1.0,1.0
56,0.6756756901741028,1.0,0.4864864945411682,2.05555552152204,1.0,1.0,1.0
57,0.6216216087341309,1.0,0.5675675868988037,1.7619047018946454,1.0,1.0,1.0
58,0.7567567825317383,1.0,0.2702702581882477,3.7000001654028964,1.0,1.0,1.0
59,0.8108108043670654,1.0,0.2702702581882477,3.7000001654028964,1.0,1.0,1.0
60,0.7837837934494019,1.0,0.3513513505458832,2.846153852678615,0.986842105263158,0.9864864864864865,0.9864840182648402
61,0.6216216087341309,1.0,0.6216216087341309,1.608695685525473,0.9743589743589743,0.972972972972973,0.972953216374269
62,0.6756756901741028,1.0,0.5675675868988037,1.7619047018946454,0.9743589743589743,0.972972972972973,0.972953216374269
63,0.7567567825317383,1.0,0.4054054021835327,2.4666666862699724,0.986842105263158,0.9864864864864865,0.9864840182648402
