epoch,loss,sameAs_train_hits@1,sameAs_train_hits@10,sameAs_train_MR,sameAs_train_MRR,sameAs_train_precision,sameAs_train_recall,sameAs_train_f1
0,2.92673459649086,0.22801383584737778,0.4212574139237404,1.884325981140137,0.0326063209280307,0.7658959537572254,0.5597826086956522,0.4539659278256091
1,0.4285899758338928,0.3297009766101837,0.9730412065982819,1.1446535289287567,0.4882023823327493,1.0,1.0,1.0
2,0.24852356761693956,0.5492765605449677,1.0,0.9966778755187988,1.0412004070654042,0.9946236559139785,0.9945652173913043,0.9945650568601389
3,0.4714400231838226,0.4945578336715698,1.0,0.9936513185501099,0.8614919108642793,0.9893617021276595,0.9891304347826086,0.989129150419473
4,0.17964480221271514,0.3626529797911644,1.0,1.3479312658309937,0.7545432733449635,1.0,1.0,1.0
5,0.170765171200037,0.39962048828601837,1.0,1.1130167990922928,0.9287851452958269,0.9577114427860697,0.9538043478260869,0.9537055537055537
6,0.1377686932682991,0.3263009265065193,0.9999999701976776,1.339504599571228,0.7524415215497087,1.0,1.0,1.0
7,0.15311199724674224,0.3645068630576134,0.9999999701976776,1.2638115584850311,0.7963159337739885,1.0,1.0,1.0
8,0.12783560603857042,0.37207332253456116,1.0,1.1196168959140778,0.9012084914640792,1.0,1.0,1.0
9,0.1693807363510132,0.4043308272957802,1.0,1.106101244688034,0.9075549203838489,1.0,1.0,1.0
10,0.17730849087238312,0.38407454639673233,0.9999999850988388,1.1680794060230255,0.8590101739897994,1.0,1.0,1.0
11,0.1513899545650929,0.4034367948770523,1.0,1.1596230119466782,0.8819444466735942,1.0,1.0,1.0
12,0.16945068240165712,0.3498072773218155,0.9999999850988388,1.216599851846695,0.8310679846059509,1.0,1.0,1.0
13,0.15781618356704713,0.3933822736144066,1.0,1.1613000333309174,0.9145467059348653,0.967005076142132,0.9646739130434783,0.9646297733910022
14,0.1258879691362381,0.4079911932349205,0.9999999850988388,1.1846155226230621,0.8549808789801231,1.0,1.0,1.0
15,0.1516804039478302,0.38309647887945175,1.0,1.1370308697223663,0.8843311095580375,0.9972972972972973,0.9972826086956521,0.997282588629701
16,0.12461126931011676,0.4152122288942337,0.9999999850988388,1.0476622730493546,1.0817925379078273,0.9946236559139785,0.9945652173913043,0.9945650568601389
17,0.1281245901249349,0.42577052116394043,0.9999999701976776,1.1191055178642273,0.9034333910011321,1.0,1.0,1.0
18,0.11621847301721573,0.4010969325900078,1.0,1.0588605403900146,0.9696548180800888,1.0,1.0,1.0
19,0.11618984788656235,0.38097524642944336,0.9999999850988388,1.254501760005951,0.8091405525582451,1.0,1.0,1.0
20,0.1171988781541586,0.39802150428295135,0.9999999850988388,1.1335518062114716,0.9019824887462926,1.0,1.0,1.0
21,0.09871386438608169,0.5330863773822785,1.0,0.8823178291320801,0.9304633122303704,1.0,1.0,1.0
22,0.09011712968349457,0.4005325958132744,1.0,1.0365366488695145,1.0676348839512966,1.0,1.0,1.0
23,0.10212020948529243,0.593494363129139,0.9999999701976776,0.6891733184456825,1.5838931317350464,0.9839243498817967,0.9836956521739131,0.9836937256292095
24,0.10503196120262145,0.584630936384201,0.9999999761581421,0.7035195708274842,1.1180808008920389,1.0,1.0,1.0
25,0.09666134119033813,0.5392494052648544,1.0,0.7488065958023071,1.3634770105901501,1.0,1.0,1.0
26,0.07488721497356891,0.5360953062772751,0.9999999850988388,0.7203434407711029,1.4331884860926207,1.0,1.0,1.0
