epoch,loss,sameAs_train_hits@1,sameAs_train_hits@10,sameAs_train_MR,sameAs_train_MRR,sameAs_train_precision,sameAs_train_recall,sameAs_train_f1
0,0.6414438843727112,0.21867916062474252,0.9180438041687011,6.4961058616638185,0.29856950970053553,0.23885417930365158,0.45731955171012134,0.31380869842408304
1,0.2986642995849252,0.25544021278619766,0.9529031068086624,2.9996044635772705,0.33341641591686416,0.9594109489379956,0.9578034570195304,0.9577665129777995
2,0.13188336938619613,0.26909404844045637,0.9092561483383179,3.9284718513488768,0.362926656564486,0.9639178011664365,0.9639006639180845,0.9639003305352096
3,0.14859185218811036,0.29236228168010714,0.9475260138511657,3.1994256496429445,0.4000869519523797,0.979327042123549,0.9784371794127324,0.9784271670109919
4,0.16505153775215148,0.16829963400959969,0.8878086507320404,4.261439800262451,0.23469853413060213,0.9984466656375425,0.9984418249037028,0.9984418211205853
5,0.07178307734429837,0.14088807255029678,0.9138837158679962,4.160240411758423,0.24040026720394475,0.9991787122207622,0.9991773609740047,0.9991773604172957
6,0.07210574373602867,0.30767708122730253,0.925013291835785,3.3989763259887695,0.38833704163872584,0.9999322534439887,0.9999322532566828,0.9999322532566763
7,0.06514634788036347,0.3151004910469055,0.9396153926849365,3.1566104888916016,0.40275507647695485,0.9990340590769469,0.9990321893811819,0.999032188474674
8,0.061606582906097176,0.15722382813692093,0.9293650388717651,3.7445056438446045,0.26709099880534093,0.9999322624346816,0.9999322532566828,0.9999322532563718
9,0.09504603892564774,0.37041978240013124,0.9614193320274353,2.5422213077545166,0.45182181650337905,0.9992076529133249,0.9992063952925692,0.9992063947927499
10,0.08470068275928497,0.33911232352256776,0.9329029321670532,3.1473450660705566,0.4033533636413475,0.9999612875752473,0.9999612875752473,0.9999612875752473
11,0.06970532536506653,0.11994936764240265,0.9329642295837403,3.4728899002075195,0.3955531094525905,0.9979833882206817,0.9979772758066701,0.9979772695997534
12,0.07109129577875137,0.10396500490605831,0.8533840924501419,5.083610892295837,0.1967191513098559,0.9999903220811397,0.9999903218938118,0.9999903218938109
13,0.07291151881217957,0.06882070004940033,0.8769804835319519,5.027611923217774,0.2013944374746628,0.998908760815822,0.9989063740007356,0.9989063726927377
14,0.10844318121671677,0.29127406179904936,0.9146873712539673,3.575747489929199,0.37898708794521047,0.9990528649006055,0.9990515455935582,0.9990515449667191
15,0.06019857479259372,0.3228978872299194,0.948041307926178,2.9730560302734377,0.41528226703332755,0.9992558948589099,0.9992547858235101,0.9992547854096594
16,0.09457002952694893,0.1357080638408661,0.9138971865177155,4.15799605846405,0.2405331258669866,0.9995455424482692,0.9995451290091555,0.9995451289150392
17,0.05262041613459587,0.308062931895256,0.9252936482429505,3.4198697090148924,0.38717368391172596,0.9997775026119259,0.9997774035576719,0.9997774035466425
18,0.11045444756746292,0.30767623484134676,0.9129253149032592,3.5023412704467773,0.3827562742462445,0.9997388276262333,0.9997386911329191,0.9997386911150763
19,0.0522999320179224,0.10766740143299103,0.9248338222503663,4.194897651672363,0.23852438456069747,0.9990435549199066,0.99904186748737,0.9990418666774281
20,0.054476807452738286,0.16209397092461586,0.9407254457473755,3.6279298663139343,0.2756611938545661,0.9998355263157894,0.9998354721948008,0.9998354721903473
21,0.046542798448354,0.3385850727558136,0.9462326765060425,2.970887565612793,0.4154539266113074,0.9998355263157894,0.9998354721948008,0.9998354721903473
22,0.04780758656561375,0.2127428911626339,0.9302805215120316,3.5203102827072144,0.2840715923464868,0.9999612905723189,0.9999612875752473,0.9999612875751893
23,0.04596409657970071,0.38907910585403443,0.9503081679344177,2.588474750518799,0.4472908843834219,0.9996904923106684,0.9996903006019782,0.9996903005722737
24,0.04663668442517519,0.3526434302330017,0.9478302717208862,2.8776631355285645,0.42243817860220145,0.9997677262004614,0.9997677254514836,0.9997677254513966
25,0.07617906108498573,0.15623706579208374,0.9295828640460968,3.886156141757965,0.25732924871737684,0.9992075923139642,0.9992063952925692,0.9992063948168339
26,0.08018681555986404,0.31207076013088225,0.9303236722946167,3.295937156677246,0.3941833170930897,0.9999903220811397,0.9999903218938118,0.9999903218938109
27,0.05334388222545385,0.14554936438798904,0.907583475112915,4.19118332862854,0.2386511948039305,0.9999806445369206,0.9999806437876236,0.9999806437876164
28,0.05157061424106359,0.3702924996614456,0.9605285286903381,2.5489404678344725,0.4511150661562045,0.9998935560025495,0.99989354083193,0.9998935408311223
29,0.04396077245473862,0.364669942855835,0.9678635001182556,2.527222776412964,0.45328161847436127,0.9993620599663632,0.9993612449915801,0.9993612447309628
30,0.0411806576885283,0.16534975916147232,0.9406305253505707,3.7158668637275696,0.26912256059729733,0.9998548705445257,0.9998548284071773,0.9998548284041178
31,0.0374356490559876,0.3212581276893616,0.9614092588424683,2.8795331954956054,0.4223044722637591,0.9999322624346816,0.9999322532566828,0.9999322532563718
32,0.034681511111557484,0.1789323426783085,0.9712875336408615,3.02572500705719,0.3305853716560567,0.9997968423496633,0.9997967597700481,0.999796759761653
33,0.033014707965776324,0.35709998309612273,0.9784461379051208,2.302892971038818,0.4779723061485622,0.999941938106021,0.9999419313628709,0.9999419313626752
34,0.03249278138391674,0.20497125014662743,0.9773592054843903,2.7254490852355957,0.36694220249206994,1.0,1.0,1.0
35,0.029497689567506313,0.3628461956977844,0.9869907975196839,2.0937437534332277,0.5058072351007176,0.9999032256807461,0.9999032189381182,0.9999032189377919
36,0.02791043296456337,0.20116715878248215,0.984905794262886,2.606790781021118,0.38365215834602057,1.0,1.0,1.0
37,0.029420703649520874,0.3731483042240143,0.9909286022186279,1.9741703033447267,0.5244955920374207,0.9999903220811397,0.9999903218938118,0.9999903218938109
38,0.08477982878684998,0.3736828207969666,0.9915276765823364,1.947960090637207,0.5286229945511347,0.9998935634942137,0.99989354083193,0.9998935408307235
39,0.04249815260991454,0.365055713057518,0.9871766328811645,2.0283965110778808,0.5155836547993546,0.9995165625664726,0.999516094690591,0.9995160945772775
40,0.03645976930856705,0.1685132086277008,0.9850754290819168,2.8095229864120483,0.35600837319905004,0.9990515934594516,0.9990515455935582,0.9990515455708158
41,0.03498402368277311,0.13460317626595497,0.9728167057037354,3.223392128944397,0.310275580705756,0.9993427037223968,0.9993418887792036,0.999341888510689
42,0.03720233086496592,0.30555514693260194,0.9834749102592468,2.5265317440032957,0.4533572300317664,0.9999516141518929,0.999951609469059,0.9999516094689458
43,0.032881341967731716,0.38127456307411195,0.9917462110519409,1.8841909885406494,0.5397109746213913,0.9987161170746776,0.9987128118769719,0.9987128097442866
44,0.03108295500278473,0.23015393316745758,0.9935740828514099,2.253306806087494,0.4438158052509921,0.9999612905723189,0.9999612875752473,0.9999612875751893
45,0.02842604210600257,0.4256935238838196,0.9974757432937622,1.5264503479003906,0.6193139322930508,0.999294495129117,0.9992934982482629,0.999293497895616
46,0.02747844811528921,0.2926594018936157,0.996710479259491,1.8476960062980652,0.541384361793004,0.9999903220811397,0.9999903218938118,0.9999903218938109
47,0.026637605112046003,0.3324231207370758,0.9980826079845428,1.6404304802417755,0.6096142602928845,0.9998258420287671,0.9998257940886127,0.9998257940844355
48,0.023572591971606015,0.45873640179634095,0.9989474654197693,1.3215973615646361,0.6843656396817708,0.999903219687299,0.9999032189381182,0.9999032189380819
49,0.028141263872385025,0.45253702998161316,0.9990394115447998,1.3167912244796753,0.6860733206664588,0.9999806445369206,0.9999806437876236,0.9999806437876164
50,0.0261365398298949,0.33122613430023196,0.9935126423835754,2.0280633926391602,0.515635556026559,0.9997001586257592,0.9996999787081664,0.9996999786811607
51,0.030190252372995018,0.2718464210629463,0.9988774210214615,1.7349436283111572,0.5764351460120332,0.9998742162706091,0.9998741846195536,0.9998741846175621
52,0.024478232162073253,0.4643446445465088,0.9997530102729797,1.1370190620422362,0.7630252533312959,0.9998355263157894,0.9998354721948008,0.9998354721903473
53,0.025042244605720042,0.3144182562828064,0.9993419945240021,1.5296667516231537,0.653862841154502,0.9998838896952105,0.9998838627257418,0.9998838627241753
54,0.02306607775390148,0.4522724986076355,0.9994585514068604,1.248644471168518,0.7125919068115687,0.9999612905723189,0.9999612875752473,0.9999612875751893
55,0.025572049990296365,0.4640800178050995,0.9996592044830322,1.1934931755065918,0.7363066155612634,0.9998935560025495,0.99989354083193,0.9998935408311223
56,0.023905470594763757,0.435711944103241,0.9994739770889283,1.3129463911056518,0.6879470501149105,0.999922587137853,0.9999225751504945,0.9999225751500305
57,0.022502239607274533,0.3063979148864746,0.9994968473911285,1.5560707449913025,0.6433746385574166,0.9998742162706091,0.9998741846195536,0.9998741846175621
58,0.022129617957398297,0.465471088886261,0.9997369885444641,1.1514927387237548,0.7558248429831005,0.9999129122155133,0.9999128970443063,0.9999128970436455
59,0.021578193409368396,0.46849359273910524,0.9998761296272278,1.1427693128585816,0.760112738789506,0.9998645334817898,0.9998645065133654,0.9998645065115379
60,0.020299421856179833,0.5121327221393586,0.9999377608299256,0.9694364309310913,0.8606648239370713,0.9999129122155133,0.9999128970443063,0.9999128970436455
61,0.02009566957131028,0.3839782401919365,0.9999032616615295,1.2384944558143616,0.8076115721628903,0.9999612883245153,0.9999612875752473,0.9999612875752328
62,0.018714131927117704,0.5077845275402069,0.9999224305152893,0.9582719564437866,0.8684347853430058,0.9999709673673209,0.9999709656814355,0.999970965681411
63,0.01776401251554489,0.38836265355348587,0.9998837113380432,1.1815072298049927,0.8464141111654685,0.9999806445369206,0.9999806437876236,0.9999806437876164
64,0.018133231671527028,0.5429826140403747,0.9999690651893616,0.8356577157974243,0.9659440226960033,0.9998935634942137,0.99989354083193,0.9998935408307235
65,0.017533394740894437,0.44252755492925644,0.9999613910913467,0.9920558482408524,1.0083771551813692,1.0,1.0,1.0
66,0.017692610807716846,0.5694696366786957,1.0,0.7476161003112793,1.0563658352682275,0.999941938106021,0.9999419313628709,0.9999419313626752
67,0.01681525632739067,0.5687391757965088,0.9999844074249268,0.7550298810005188,1.0486236970599823,0.9999806445369206,0.9999806437876236,0.9999806437876164
68,0.01684451848268509,0.5770678520202637,0.9999845266342163,0.7359623432159423,1.0699639369848295,0.9997775026119259,0.9997774035576719,0.9997774035466425
69,0.016244388371706008,0.5662079691886902,1.0,0.759122896194458,1.0435358775397852,1.0,1.0,1.0
70,0.015937817422673105,0.5139481425285339,0.9999999552965164,0.8137646466493607,1.229424660095324,0.999941938106021,0.9999419313628709,0.9999419313626752
71,0.016020766412839293,0.49630679935216904,0.9999222904443741,0.8595141023397446,1.1641531129910316,0.999922587137853,0.9999225751504945,0.9999225751500305
72,0.015063118701800705,0.551064133644104,0.9999804049730301,0.7469699382781982,1.3411379201646265,0.9999806445369206,0.9999806437876236,0.9999806437876164
73,0.015629425551742314,0.6318537950515747,1.0,0.6018505930900574,1.264030690864626,0.9998935634942137,0.99989354083193,0.9998935408307235
74,0.014779729442670942,0.6288785338401794,0.9999999880790711,0.6075850844383239,1.2543496748166405,0.9999903220811397,0.9999903218938118,0.9999903218938109
75,0.013888602843508124,0.533671498298645,1.0,0.7567376047372818,1.321808316037618,0.9998548705445257,0.9998548284071773,0.9998548284041178
76,0.04076817706227302,0.6106655299663544,0.9999999880790711,0.638103699684143,1.2041023477919033,1.0,1.0,1.0
77,0.02488649021834135,0.5823927462100983,0.999937891960144,0.7301485419273377,1.0770027679300476,0.9953020476112402,0.9952867622863558,0.9952867259227238
